TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
BARI11;103,31;13,59;1,02;1.347.619,12;4,68;;;471.474.468,53;31.818,00;Ativa;
BCFF11;71,58;8,58;0,91;3.990.543,52;1,25;-1,66;-5,57;1.990.777.058,59;284.472,00;Ativa;
QAGR11;49,99;10,29;0,84;587.874,52;1,03;;;301.164.497,72;21.572,00;Ativa;
MGFF11;62,15;11,76;0,79;922.470,80;2,95;-9,89;-12,85;713.300.572,99;50.187,00;Ativa;
BCIA11;87,02;8,83;0,82;306.181,56;0,19;-20,00;-6,95;394.781.222,12;14.620,00;Ativa;
AIEC11;77,80;9,94;0,76;1.067.109,00;5,48;;;491.127.002,75;5.566,00;Ativa;
RBRY11;106,20;9,97;1,02;904.136,52;3,43;;;354.981.935,25;11.844,00;Ativa;
HBRH11;86,35;10,15;0,77;453.961,84;1,45;;;311.940.949,65;1.867,00;Ativa;
VTLT11;89,99;10,13;0,87;281.536,48;2,20;-2,08;-3,77;218.154.340,14;5.952,00;Ativa;
OURE11;86,50;12,18;0,93;202.253,68;21,68;13,18;-1,31;100.363.668,32;4.431,00;Ativa;
OUJP11;89,16;11,18;0,88;486.151,08;6,01;3,63;-5,85;331.030.710,86;21.138,00;Ativa;
RBRL11;92,29;9,19;0,86;807.335,76;3,87;;;718.503.950,56;7.787,00;Ativa;
KISU11;7,94;10,93;0,85;912.086,20;6,22;;;412.682.158,61;53.564,00;Ativa;
AFHI11;101,49;8,57;1,03;748.417,08;1,82;;;175.960.340,60;6.176,00;Ativa;
RVBI11;83,00;10,59;0,94;283.918,72;1,93;;;127.581.764,58;11.355,00;Ativa;
BTCR11;92,50;9,49;0,94;932.448,08;3,32;5,43;;472.571.529,91;10.373,00;Ativa;
MCCI11;100,47;10,65;1,03;4.334.570,80;2,09;;;1.215.907.590,31;73.022,00;Ativa;
SARE11;69,07;10,84;0,70;1.082.503,36;10,00;;;917.117.685,29;12.478,00;Ativa;
VCJR11;97,15;12,46;1,02;1.508.275,44;2,72;;;1.108.573.860,66;7.645,00;Ativa;
RZAK11;96,50;9,34;1,02;1.347.950,20;1,35;;;283.956.920,58;7.316,00;Ativa;
