TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
GCRI11;98,45;12,74;0,98;237.862,20;2,66;;;100.208.755,09;1.243,00;Ativa;
VVPR11;91,38;9,24;0,88;449.960,40;1,41;;;238.464.430,38;1.392,00;Ativa;
RBRF11;72,36;9,96;0,83;3.757.585,00;1,68;-7,65;-10,98;1.194.884.791,18;80.136,00;Ativa;
FLCR11;99,60;13,17;0,99;453.344,52;3,81;;;50.185.828,63;842,00;Ativa;
BBFI11B;2.235,00;14,87;0,79;421.506,48;8,08;3,30;-0,37;369.184.512,49;8.731,00;Passiva;
GALG11;97,50;10,34;0,98;388.076,36;0,02;;;558.924.528,85;6.245,00;Ativa;
VINO11;49,58;11,84;0,90;3.168.210,52;2,96;;;699.302.246,47;100.857,00;Ativa;
TGAR11;115,92;12,15;0,88;3.182.324,36;4,90;9,48;-2,03;1.496.956.687,22;80.194,00;Ativa;
PATL11;74,00;9,24;0,75;1.218.929,12;1,01;;;489.595.317,27;14.011,00;Ativa;
RELG11;80,77;10,39;0,66;203.863,84;1,04;;;162.778.565,46;4.541,00;Ativa;
TORD11;9,69;10,65;0,75;794.853,48;1,82;;;452.337.268,81;96.098,00;Ativa;
NEWL11;102,88;10,24;0,89;418.612,20;3,84;;;235.152.808,21;2.487,00;Ativa;
MXRF11;9,40;10,21;0,92;10.236.703,56;0,51;-0,34;-4,52;2.321.102.708,40;488.875,00;Ativa;
PLCR11;88,10;12,43;0,95;476.362,76;12,30;;;195.937.545,58;9.452,00;Ativa;
GTWR11;81,92;9,99;0,83;633.986,84;0,54;;;1.181.864.977,66;26.320,00;Ativa;
CPFF11;71,56;12,00;0,90;969.994,40;0,33;;;432.234.278,18;13.323,00;Ativa;
RBED11;122,80;10,24;0,87;215.997,32;2,81;0,03;;285.897.124,09;12.112,00;Ativa;
EQIN11;92,65;10,73;0,96;579.271,20;9,27;-29,53;;139.997.733,91;7.785,00;Ativa;
HSAF11;94,45;12,89;0,98;385.276,88;1,57;;;170.274.904,76;5.046,00;Ativa;
XPPR11;62,72;9,81;0,76;1.171.721,64;3,66;;;602.678.994,00;50.786,00;Ativa;
BLMR11;7,99;9,70;0,92;643.032,64;7,19;;;220.597.474,78;7.312,00;Ativa;
VSLH11;9,77;15,28;0,99;1.632.605,92;3,10;;;294.618.792,24;44.732,00;Ativa;
RBVA11;96,60;11,33;0,92;804.481,56;1,52;-2,35;;1.214.799.658,16;43.235,00;Ativa;
BBPO11;92,30;12,64;0,96;1.063.380,08;4,78;-2,27;-11,90;1.525.488.938,32;65.386,00;Passiva;
XPSF11;77,62;11,30;0,86;629.344,20;1,29;;;388.991.107,07;21.263,00;Ativa;
BPFF11;65,57;10,48;0,82;378.794,32;3,50;-8,94;-12,89;358.945.822,37;20.639,00;Ativa;
KFOF11;76,97;9,24;0,80;530.001,76;1,94;2,62;;434.162.955,34;7.817,00;Ativa;
RBFF11;53,03;10,60;0,79;334.636,96;1,10;-12,54;;253.219.830,88;22.134,00;Ativa;
RBHG11;84,71;12,35;0,89;435.273,76;6,80;;;165.363.721,21;5.262,00;Ativa;
VIFI11;81,60;9,22;0,88;406.630,20;4,58;;;261.421.261,58;6.486,00;Ativa;
MORE11;76,14;9,97;0,84;635.897,88;1,95;;;211.406.854,86;11.528,00;Ativa;
HFOF11;77,59;9,16;0,89;1.473.862,96;1,10;-14,11;-7,35;1.994.343.584,43;64.906,00;Ativa;
PORD11;92,69;12,48;0,93;718.092,96;3,00;;-2,34;370.483.839,84;14.059,00;Ativa;
SDIL11;83,54;9,52;0,86;1.208.077,20;2,84;2,65;-8,06;622.933.473,38;51.477,00;Ativa;
RBCO11;51,04;9,48;0,51;235.669,72;3,74;;;378.738.232,01;6.413,00;Ativa;
FEXC11;87,77;10,24;0,94;1.068.398,44;6,82;5,52;-5,56;571.393.942,82;17.660,00;Ativa;
QAGR11;49,99;9,39;0,84;587.874,52;1,03;;;301.164.497,72;21.572,00;Ativa;
MGFF11;62,15;10,71;0,79;922.470,80;2,95;-9,89;-12,88;713.300.572,99;50.187,00;Ativa;
AIEC11;77,80;9,94;0,76;1.067.109,00;5,48;;;491.127.002,75;5.566,00;Ativa;
HBRH11;86,35;10,15;0,77;453.961,84;1,45;;;311.940.949,65;1.867,00;Ativa;
VTLT11;89,99;10,13;0,87;281.536,48;2,20;-2,08;-4,09;218.154.340,14;5.952,00;Ativa;
OURE11;86,50;12,18;0,93;202.253,68;21,68;13,18;-1,60;100.363.668,32;4.431,00;Ativa;
OUJP11;89,16;11,18;0,88;486.151,08;6,01;3,63;-5,75;331.030.710,86;21.138,00;Ativa;
KISU11;7,94;10,03;0,85;912.086,20;6,22;;;412.682.158,61;53.564,00;Ativa;
RBBV11;100,00;30,68;0,99;239.178,74;1,01;75,40;9,58;126.470.249,69;3.475,00;Passiva;
RVBI11;83,00;10,59;0,94;283.918,72;1,93;;;127.581.764,58;11.355,00;Ativa;
SARE11;69,07;10,84;0,70;1.082.503,36;10,00;;;917.117.685,29;12.478,00;Ativa;
